OID_,OBJECTID,GEO_ID,TYPE_DESC,SCODE_NAME,LCODE_NAME,NAME
2969,4304844,496.000000000000000,CGSP,496,496,HOBART PARK
2970,4304845,1533.000000000000000,CGSP,1533,1533,TANIS CRES WOODLOT
2971,4304846,59721.000000000000000,CGSP,59721,59721,TRCA LANDS ( 20)
2972,4304748,489.000000000000000,CGSP,489,489,HIGHVIEW PARK
2973,4304749,1494.000000000000000,CGSP,1494,1494,SADLER PARKETTE
2974,4304755,791.000000000000000,CGSP,791,791,O'SHEA WALKWAY
2975,4304760,1570.000000000000000,CGSP,1570,1570,WARTIME ISLANDS
2976,4304773,28983.000000000000000,CGSP,28983,28983,EAST YORK CIVIC CENTRE
2977,4304774,649.000000000000000,CGSP,649,649,LORING - WYLE PARKETTE
2978,4304775,112.000000000000000,CGSP,112,112,BLANTYRE PARK
2979,4304776,189.000000000000000,CGSP,189,189,CHATER COURT PARK
2980,4304780,1029.000000000000000,CGSP,1029,1029,TERRY FOX PARK
2981,4304784,542.000000000000000,CGSP,542,542,JANELLAN RAVINE PARK
2982,4304785,486.000000000000000,CGSP,486,486,HIGHLAND CREEK COMMUNITY PARK
2983,4304796,1068.000000000000000,CGSP,1068,1068,UPWOOD GREENBELT
2984,4304797,274.000000000000000,CGSP,274,274,DENSGROVE PARK
2985,4304802,1301.000000000000000,CGSP,1301,1301,FIELDWAY PARKETTE
2986,4304803,400.000000000000000,CGSP,400,400,GEARY AVENUE PARKETTE
2987,4304804,1871.000000000000000,CGSP,1871,1871,MEASUREMENT PARK
2988,4304805,2042.000000000000000,CGSP,2042,2042,YORKMINSTER PARK BAPTIST CHURCH PARK
2989,4304812,1849.000000000000000,CGSP,1849,1849,LES ANTHONY PARKETTE
2990,4304813,59731.000000000000000,CGSP,59731,59731,TRCA LANDS ( 30)
2991,4304828,59828.000000000000000,CGSP,59828,59828,TRCA LANDS ( 67)
2992,4304829,41122.000000000000000,CGSP,41122,41122,ST. GASPAR CSS - Building Grounds
2993,4304830,1012.000000000000000,CGSP,1012,1012,SUNNYSIDE PARK
2994,4304840,27835.000000000000000,CGSP,27835,27835,ANGELA JAMES ARENA - Building Grounds
2995,4304831,1801.000000000000000,CGSP,1801,1801,HUMBER VALLEY GOLF COURSE
2996,4304750,705.000000000000000,CGSP,705,705,MCNICOLL PARK
2997,4304751,477.000000000000000,CGSP,477,477,HENRIETTA PARK
